Id,Pos for 5 steps,Pos for 10 steps,Pos for 20 steps,Pos for 50 steps,Pos for 100 steps,Pos for 200 steps
1,4,5,13,40,74,167
2,4,8,19,44,80,164
3,5,9,16,44,79,159
4,4,6,18,37,83,153
5,4,7,17,40,75,160
6,3,7,17,41,81,164
7,2,9,16,42,82,154
8,5,9,16,40,80,154
9,5,10,18,41,81,168
10,5,7,14,32,81,158
11,4,7,17,44,76,168
12,4,9,15,40,75,165
13,4,9,15,35,76,160
14,4,7,14,40,73,155
15,5,8,17,42,82,162
16,5,10,17,40,82,163
17,5,8,13,40,80,159
18,4,6,18,46,79,161
19,5,7,16,37,87,160
20,4,10,12,40,78,159
21,5,10,9,44,85,163
22,4,10,13,38,82,165
23,5,10,15,37,79,162
24,4,9,18,31,77,164
25,3,7,18,41,81,151
26,4,7,16,40,81,150
27,5,6,17,46,86,152
28,4,10,17,38,76,151
29,5,8,17,38,76,152
30,4,8,16,37,73,157
31,4,8,15,40,77,165
32,4,7,16,42,74,161
33,2,8,20,39,77,163
34,4,9,16,42,77,161
35,3,9,14,33,83,150
36,2,6,17,40,75,156
37,5,6,18,42,83,149
38,2,5,16,33,84,157
39,5,6,14,41,83,166
40,4,10,18,39,84,167
41,3,8,14,42,86,152
42,4,7,14,39,71,157
43,4,5,15,42,86,152
44,5,7,15,44,76,157
45,4,8,15,43,90,163
46,5,8,13,39,77,161
47,4,10,14,44,75,162
48,4,10,18,34,80,161
49,4,6,16,40,80,158
50,5,9,14,39,81,163
51,4,7,18,42,82,162
52,4,7,18,41,84,158
53,4,9,16,42,84,151
54,5,7,17,39,81,161
55,5,9,18,35,81,167
56,4,9,16,44,77,157
57,5,7,17,38,79,163
58,4,5,15,40,78,158
59,4,10,14,40,84,164
60,5,8,18,39,83,163
61,4,7,12,40,75,166
62,5,8,17,40,80,167
63,5,8,15,38,80,168
64,4,10,11,39,84,171
65,4,7,16,39,72,165
66,2,9,15,41,78,153
67,5,7,14,43,85,166
68,2,10,15,44,79,158
69,4,9,14,39,82,160
70,5,8,15,38,77,169
71,3,9,16,42,75,158
72,5,5,12,39,78,159
73,4,9,14,41,80,173
74,5,7,18,42,77,160
75,5,6,17,39,73,147
76,4,6,16,41,81,168
77,4,8,18,44,76,161
78,5,7,18,41,72,151
79,5,8,16,40,82,157
80,3,9,16,46,83,157
81,4,9,16,43,83,153
82,3,8,19,37,82,155
83,4,8,15,42,85,153
84,5,7,14,39,78,166
85,2,9,14,34,77,161
86,3,9,17,35,79,171
87,5,8,17,35,80,155
88,2,6,18,38,85,163
89,3,9,18,39,84,151
90,4,9,17,42,81,160
91,3,8,16,37,77,162
92,4,6,17,40,85,150
93,4,5,18,46,72,153
94,4,8,19,37,75,170
95,4,9,16,40,79,157
96,5,8,16,46,78,163
97,4,9,16,39,74,167
98,4,8,13,45,82,157
99,4,10,15,34,82,148
100,4,9,19,35,86,149
